tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-01-01 03:11:28,2016-01-01 03:23:58,2.08,10.5,10162,10026
2016-01-01 03:13:42,2016-01-01 03:20:45,1.33,7.0,10001,10110
2016-01-01 03:14:37,2016-01-01 03:35:14,5.31,19.0,10003,11238
2016-01-01 03:16:54,2016-01-01 03:33:01,4.6,15.5,10002,10019
2016-01-01 03:16:55,2016-01-01 03:26:26,2.0,9.5,10020,10021
2016-01-01 03:18:35,2016-01-01 03:33:15,2.3,11.5,10002,10017
2016-01-01 03:21:30,2016-01-01 03:32:01,1.63,8.5,10103,10017
2016-01-01 03:23:17,2016-01-01 04:05:46,8.9,34.0,10018,11215
2016-01-01 03:24:49,2016-01-01 03:27:49,0.42,4.0,10007,10278
2016-01-01 03:30:22,2016-01-01 03:38:51,1.2,7.5,10009,10003
2016-01-01 03:37:49,2016-01-01 03:49:51,4.16,13.5,10003,10044
2016-01-01 03:38:31,2016-01-01 03:56:08,4.5,16.5,11231,11220
2016-01-01 03:39:19,2016-01-01 03:54:40,3.5,14.0,10007,10009
2016-01-01 03:39:35,2016-01-01 03:50:16,2.04,9.5,10007,10009
2016-01-01 03:41:50,2016-01-01 03:54:47,2.0,10.0,10003,10011
2016-01-01 03:49:23,2016-01-01 03:55:50,1.2,7.0,10026,10030
2016-01-01 03:51:05,2016-01-01 03:55:27,1.27,6.0,10003,10017
2016-01-01 03:57:52,2016-01-01 04:05:20,1.3,7.0,10003,10014
2016-01-01 04:09:14,2016-01-01 04:12:00,0.39,4.0,10032,10031
2016-01-01 04:10:34,2016-01-01 04:16:46,1.48,7.0,10018,10001
2016-01-01 04:11:12,2016-01-01 04:20:46,2.8,10.5,10002,10017
2016-01-01 04:15:48,2016-01-01 04:17:38,0.5,4.0,10065,10021
2016-01-01 04:17:52,2016-01-01 04:38:13,9.36,28.0,10470,10039
